Taxon.number,Genus.species,Species,On morphosource?,How many?,Use?,Link,Link2,Link3,Link4,Link5,
30,Pseudolithoxus,,N,,,,,,,,
30,Pseudoloricaria,,N,,,,,,,,
30,Pseudorinelepis,,N,,,,,,,,
30,Pseudotocinclus,,N,,,,,,,,
30,Pseudotothyris,,N,,,,,,,,
30,Pterosturisoma,,N,,,,,,,,
30,Pterygoplichthys,,N,,,,,,,,
30,Pyxiloricaria,,N,,,,,,,,
30,Reganella,,N,,,,,,,,
30,Rhadinoloricaria,,N,,,,,,,,
30,Rhinelepis,,N,,,,,,,,
30,Rhinolekos,,N,,,,,,,,
30,Ricola,,N,,,,,,,,
30,Rineloricaria,,N,,,,,,,,
30,Schizolecis,,N,,,,,,,,
30,Scobinancistrus,,N,,,,,,,,
30,Soromonichthys,,N,,,,,,,,
30,Spatuloricaria,,N,,,,,,,,
30,Spectracanthicus,,N,,,,,,,,
30,Squaliforma,,N,,,,,,,,
30,Sturisoma,,N,,,,,,,,
30,Sturisomatichthys,,N,,,,,,,,
31,Amissidens,,N,,,,,,,,
31,Amphiarius,,N,,,,,,,,
31,Ariopsis,,N,,,,,,,,
31,Arius,,N,,,,,,,,
31,Aspistor,,N,,,,,,,,
31,Bagre,,Y,,1,https://www.morphosource.org/Detail/SpecimenDetail/Show/specimen_id/7138,,,,,
31,Batrachocephalus,,N,,,,,,,,
31,Brustiarius,,N,,,,,,,,
31,Carlarius,,N,,,,,,,,
31,Cathorops,,N,,,,,,,,
31,Cephalocassis,,N,,,,,,,,
31,Cinetodus,,N,,,,,,,,
31,Cochlefelis,,N,,,,,,,,
31,Cryptarius,,N,,,,,,,,
31,Galeichthys,,N,,,,,,,,
31,Genidens,,N,,,,,,,,
31,Hemiarius,,N,,,,,,,,
31,Hexanematichthys,,N,,,,,,,,
31,Ketengus,,N,,,,,,,,
31,Nedystoma,,N,,,,,,,,
31,Nemapteryx,,N,,,,,,,,
31,Neoarius,,N,,,,,,,,
31,Netuma,,N,,,,,,,,
31,Notarius,,N,,,,,,,,
31,Occidentarius,,N,,,,,,,,
31,Osteogeneiosus,,N,,,,,,,,
31,Plicofollis,,N,,,,,,,,
31,Potamarius,,N,,,,,,,,
31,Potamosilurus,,N,,,,,,,,
31,Sciades,,N,,,,,,,,
32,Bathyclarias,,N,,,,,,,,
32,Channallabes,,N,,,,,,,,
32,Clariallabes,,N,,,,,,,,
32,Clarias,,Y,1,,https://www.morphosource.org/Detail/SpecimenDetail/Show/specimen_id/7393,,,,,
32,Dinotopterus,,N,,,,,,,,
